"Barkhamsted, CT",NONE,Stoke on Trent. UK,NONE,Bangalore,NONE,NONE,NONE,Mumbai,"Mountain View, CA",
NONE,NONE,NONE,San Francisco,NONE,Singapore,North America,San Francisco,NONE,NONE,
Athens,NONE,New York,NONE,San Francisco,Shanghai,"Dhaka, Bangladesh","Washington, DC","Chennai,Tamil Nadu,India",Boston,
"Hyderabad, India",NONE,NONE,"Kolkata, West Bengal, India",San Francisco,NONE,Switzerland,BeiJing,NONE,NONE,
NONE,Western Mass,soon: NYC,NONE,Ghana,NONE,NONE,"San Luis Potosi, Mexico",NONE,India,NONE
"New Delhi, India","Paderborn, Germany",NONE,Nigeria,San Francisco,"Austin, TX",NONE,"Mountain View, CA",San Francisco Bay Area,NONE,
NONE,San Francisco,NONE,"Rosenheim, Germany",NONE,"Hangzhou, China",NONE,"Toronto, Canada",Bangalore,NONE,
"Zhejiang,China",NONE,NONE,"Dublin, Ireland","Stanford, CA","Pune, India",NONE,India,"São Paulo, SP Brasil","San Francisco, CA",
Planet Earth,NONE,NONE,"Toronto, canada",NONE,"Utrecht, NL","Saint Louis, MO",NONE,"Russia, Armenia",Jamshedpur,
"Changchun, Jilin",Boston,Hamburg/ Germany,NONE,beijing,"Nottingham, United Kingdom","Portland, Oregon",NONE,Chile,"Russia, Saint Petersburg",
"Islamabad, Pakistan",NONE,NONE,Germany,Italy,"Dhaka, Bangladesh",NONE,Bengaluru,Sri Lanka,NONE,
New York,NONE,Kolkata,NONE,Lagos,NONE,delhi india,NONE,NONE,"La Jolla, CA",
"Munich, Germany","Charlotte, NC",NONE,NONE,"Accra,Ghana",NONE,Goiânia - GO,NONE,Patna,"Huntington Beach, CA",
NONE,Seattle,NONE,NONE,Knoxville,"San Jose, CA",NONE,NONE,Berlin,NONE,
NONE,NONE,NONE,"Pokhara, Nepal","Kolkata, West Bengal, India",Bangalore,"Beijing, China","Salt Lake City, UT",NONE,NONE,
NONE,NONE,NONE,"Cuttack , Odisha , India","Irvine, CA",NONE,Chengdu,NONE,"San Francisco, CA",NONE,
"Shenzhen, China","Portland, OR",NONE,"Oakland, CA",NONE,NONE,The Netherlands,NONE,"Bangalore, India",Mclean,
Montreal,NONE,NONE,Singapore,Bangalore,Mumbai,Israel,Japan,NONE,NONE,
"Accra,Ghana","London, Ontario","Oulu, Finland. ",NONE,Pakistan,"Vancouver, Canada",NONE,NONE,"San Francisco, CA","Warsaw, Poland",
"Pune, India",NONE,"Mumbai, India","New Delhi, India",NONE,Hong Kong,NONE,CA,UK,NONE,
CA,"Philadelphia, PA",NONE,NONE,NONE,"Anantapur,Andhrapradesh",NONE,NONE,NONE,fuzhou,
