,Address,Latitude,Longitude
0,"['Barkhamsted, CT']",41.9292629,-72.9139904
1,['Athens'],37.9839412,23.7283052
2,"['Hyderabad, India']",17.38878595,78.46106473453146
3,"['New Delhi, India']",28.6138954,77.2090057
4,"['Zhejiang,China']",29.0000001,119.9999999
5,['Planet Earth'],12.8831063,77.7501677
6,"['Changchun, Jilin']",43.8130735,125.3171216
7,"['Islamabad, Pakistan']",33.6938118,73.0651511
8,['New York'],40.7127281,-74.0060152
9,"['Munich, Germany']",48.1371079,11.5753822
10,"['Shenzhen, China']",22.555454,114.0543297
11,['Montreal'],45.4972159,-73.6103642
12,"['Accra,Ghana']",5.5600141,-0.2057437
13,"['Pune, India']",18.521428,73.8544541
14,['CA'],61.0666922,-107.9917071
15,"['Tehran, Iran ']",35.7006177,51.4013785
16,['Blumenau'],-26.9195567,-49.0658025
17,"['Poland, Kraków']",50.0619474,19.9368564
18,['Gurgaon'],28.42826235,77.00270014657752
19,"['Jaipur,Rajasthan']",26.916194,75.820349
20,['United Kingdom'],54.7023545,-3.2765753
21,['Kraków'],50.0619474,19.9368564
22,['India'],22.3511148,78.6677428
23,['london UK'],51.5073219,-0.1276474
24,['Bangalore'],12.9791198,77.5912997
25,['KITALE'],1.018076,35.000236
26,"['Wales, UK']",52.2928116,-3.73893
27,"['London, UK']",51.5073219,-0.1276474
28,"['Serbia,  Belgrade']",44.8178131,20.4568974
29,"['Mbarara, Uganda']",-0.52283825,30.63412741499534
30,"['Birmingham, AL']",33.5206824,-86.8024326
31,"['Brasília, Brazil']",-10.3333333,-53.2
32,"['Birmingham, AL']",33.5206824,-86.8024326
33,['New York City'],40.7127281,-74.0060152
34,['Auckland'],-36.852095,174.7631803
35,"['Yardley, PA']",40.245664,-74.8459972
36,['Western Mass'],42.6430698,-71.3168158
37,"['Paderborn, Germany']",51.71895955,8.764869778177559
38,['San Francisco'],37.7790262,-122.4199061
39,['Boston'],42.3602534,-71.0582912
40,"['Charlotte, NC']",35.2272,-80.843083
41,['Seattle'],47.6038321,-122.3300624
42,"['Portland, OR']",45.5202471,-122.6741949
43,"['London, Ontario']",42.9836747,-81.2496068
44,"['Philadelphia, PA']",39.9527237,-75.1635262
45,"['Berlin, Germany']",52.5170365,13.3888599
46,['Kochi'],9.931308,76.2674136
47,['Hyderabad'],17.38878595,78.46106473453146
48,['United Kingdom'],54.7023545,-3.2765753
49,"['Chittagong, Bangladesh']",22.3307998,91.8412863
50,"['Milan,Italy']",45.4668,9.1905
51,"['Syracuse, New York']",43.0481221,-76.1474244
52,"['Syracuse, New York']",43.0481221,-76.1474244
53,['Nigeria'],9.6000359,7.9999721
54,['Moscow'],55.7504461,37.6174943
55,"['Leeds, West Riding, UK']",54.0813547,-0.1952885
56,"['Chicago, IL']",41.8755616,-87.6244212
57,['Oslo Norway'],59.9133301,10.7389701
58,['Toronto'],43.6534817,-79.3839347
59,"['Bangalore, India']",12.9791198,77.5912997
60,"['Canada, Edmonton,AB']",53.5649447,-113.5964826
61,['Casablanca'],33.5950627,-7.6187768
62,['Finland'],63.2467777,25.9209164
63,"['Austin, TX']",30.2711286,-97.7436995
64,['Mexico'],19.4326296,-99.1331785
65,['Bangalore'],12.9791198,77.5912997
66,['Malaysia'],4.5693754,102.2656823
67,"['Dhaka, Bangladesh']",23.810651,90.4126466
68,['London'],51.5073219,-0.1276474
69,"['New Delhi, India']",28.6138954,77.2090057
70,['Frankfurt am Main'],50.1106444,8.6820917
71,"['Surabaya, Indonesia']",-7.2459717,112.7378266
72,['Istanbul/Turkey'],41.0096215,28.9651867
73,['Stoke on Trent. UK'],53.0162014,-2.1812607
74,['New York'],40.7127281,-74.0060152
75,['soon: NYC'],40.6820252,-73.9937877
76,['Hamburg/ Germany'],53.5437641,10.0099133
77,['Kolkata'],22.5726723,88.3638815
78,"['Oulu, Finland. ']",65.0118734,25.4716809
79,"['Mumbai, India']",18.9387711,72.8353355
80,['Hamburg'],53.5437641,10.0099133
81,['Pune'],18.521428,73.8544541
82,"['Lagos,Nigeria']",6.4550575,3.3941795
83,['Pune'],18.521428,73.8544541
84,['São Paulo'],-23.5506507,-46.6333824
85,"['Minneapolis, MN']",44.9772995,-93.2654692
86,"['Pune , Maharastra']",18.521428,73.8544541
87,"['Plainsboro, New Jersey']",40.3334409,-74.6004341
88,['bangalore'],12.9791198,77.5912997
89,['beijing'],39.9020668,116.718583
90,['India'],22.3511148,78.6677428
91,"['Jakarta, Indonesia']",-6.1753942,106.827183
92,['london UK'],51.5073219,-0.1276474
93,"['Kathmandu, Nepal']",27.708317,85.3205817
94,['glasgow'],55.8609825,-4.2488787
95,['Paris'],48.8566969,2.3514616
96,['Faculty of Engineering - University of Moratuwa'],,
97,['Nepal'],28.1083929,84.0917139
98,"['Cuiabá, MT']",-15.5986686,-56.0991301
99,['Mbarara'],-0.52283825,30.63412741499534
100,['Lavras-MG'],-21.2425512,-44.9991978
101,['India'],22.3511148,78.6677428
102,"['Edsbyn, Sweden ']",61.3774428,15.8181755
103,['San Francisco'],37.7790262,-122.4199061
104,"['Kolkata, West Bengal, India']",22.5726723,88.3638815
105,['Nigeria'],9.6000359,7.9999721
106,"['Rosenheim, Germany']",47.8539273,12.127262
107,"['Dublin, Ireland']",53.3497645,-6.2602732
108,"['Toronto, canada']",43.6534817,-79.3839347
109,['Germany'],51.0834196,10.4234469
