earth,NONE,NONE,"Austin, TX",Santa Cruz,NONE,Brazil,NONE,NONE,California
NONE,XIAN,Seattle WA,NONE,NONE,Shanghai <=> Wuhan,NONE,  Seattle,"Virginia, USA",NONE
"Athens, GA",Shenzhen，China,NONE,Hyderabad,Los Angeles,"Manhattan, NY","Santa Barbara, California","Palo Alto, CA",Sri Lanka,NONE
Sri Lanka,Shanghai,NONE,NONE,Montreal,Beijing,NONE,NONE,NONE,NONE
NONE,"New York, NY",NONE,"Chicago, IL",NONE,"San Francisco, CA",chennai ,NONE,NONE,NONE
Hangzhou,Dalian,Korea,NONE,NONE,Syria,NONE,NONE,"Shanghai, China",San Francisco
"Kathmandu, Nepal",NONE,Mumbai,"Tabriz, Iran",NONE,NONE,"Shanghai,China","Menlo Park, CA","Vancouver, BC",NONE
NONE,California,Toronto Ontario,NONE,NONE,NONE,Munich,New York,United Kingdom,"Grace Field, TPN"
NONE,NONE,Seoul/Korea,NONE,NONE,NONE,NONE,"Atlanta, GA","London, UK",NONE
Belgium,"Amsterdam, Netherlands",Planet Earth,"Yokohama, Japan",NONE,"Mumbai, India","Denver, CO",Brazil,NONE,NONE
NONE,广东省广州市,"Norwich, UK",NONE,NONE,NONE,"Munich, Germany",NONE,Italy,NONE
NONE,Sydney Australia,NONE,NONE,NONE,Palo Alto,"Islamabad, Pakistan",NONE,NONE,Los Angeles
