"Brooklyn, NY",China Hangzhou,NONE,Vietnam,"Madison, WI",China,NONE,"Nanjing, China",NONE,Amsterdam
NONE,深圳市南山区,NONE,"Portland, OR",Toronto Canada,NONE,"Pittsburgh, PA",NONE,"Beijing, China",Peking University
Amsterdam,NONE,ShenZhen,NONE,Boston,NONE,NONE,NONE,Sydney Australia,"Brooklyn, NY"
"Brooklyn, NY",NONE,NONE,"Cambridge, UK","Sydney, Australia","San Francisco, CA","Madison, WI","Mountain View, CA","Xian, Shaanxi, China","Fremont, CA"
"Mountain View, CA",NONE,"Shenzhen, China ",NONE,"Vancouver, WA","Cologne, Germany",NONE,NONE,"Guangzhou, China",NONE
NONE,London,China,"Qingdao,China","Cambridge, UK",NONE,Beijing,NONE,Canada,New York City
Luxembourg & Shanghai,"Tokyo, Japan.",Beijing,NONE,NONE,"SF Bay Area, USA",Mumbai,"Cambridge, UK",Sweden,NONE
NONE,china beijing,ShangHai,NONE,NONE,NONE,"Washington, DC",NONE,NONE,Austria
NONE,"Cambridge, MA",New York City,Bangalore India,"New York, NY",NONE,"Seattle, WA",NONE,NONE,NONE
Germany,NONE,USA / China,NONE,"Seattle, WA","Santa Barbara, CA","Xian,China",NONE,"Cambridge, MA",NONE
NONE,NONE,"Cambridge, UK",北京市丰台区,"Vienna, Austria",NONE,China Shanghai,"Beijing, China",NONE,San Francisco
"San Francisco, CA",NONE,"Madison, WI",Beijing.China,NONE,NONE,NONE,Shanghai,NONE,NONE
NONE,"Hangzhou, China",NONE,NONE,"New York, NY, USA",Berlin,NONE,New York City,NONE,Munich
Santa Clara CA,Thailand,NONE,NONE,NONE,"A Coruña, Spain","France, Montpellier",NONE,"Seoul, South Korea",Toronto
Toronto,NONE,Saarland University,Somewhere Out in Space,Hanoi,NONE,"Brooklyn, NY","ChengDu,QingDao",NONE,NONE
NONE,NONE,Cambridge,Germany,NONE,NONE,NONE,Amsterdam,"Cambridge, UK",NONE
NONE,Switzerland,Germany,"Sichuan University, China","Cambridge, UK",NONE,NONE,Mumbai,NONE,Hangzhou China
NONE,"Hyderabad, India",NONE,"Munich, Germany",NONE,NONE,"Boston, MA",NONE,NONE,Seoul
Harbin,"Xi'an, China",Bangalore,NONE,"San Francisco, CA",Denmark,"Helmond, The Netherlands",Germany,NONE,NONE
China - Heilongjiang - Harbin,"Bauru, SP",NONE,"Beijing, China",NONE,"Baltimore, Md","Toronto, Canada",NONE,NONE,NONE
Bay Area,"Oakland, California, USA","Dallas, TX",Singapore,NONE,NONE,Zurich,Nanjing,NONE,"Gurgaon, India"
NONE,San Jose,NONE,Amsterdam,NONE,"Nanjing, China","New York, NY",NONE,NONE,Russia
"Berlin, Deutschland",NONE,NONE,NONE,NONE,"Oslo, Norway",NONE,"Zaragoza, Spain","Washington, DC",Mumbai
NONE,NONE,NONE,NONE,Taipei,Seattle,Palma de Mallorca,NONE,"Santa Clara, CA, US",Le Mans
"Santa Clara, CA, US","Claremont, CA",Singapore,NONE,NONE,NONE,NONE,"Guangzhou, China",NONE,NONE
NONE,China NJU,"Madison, WI",guangzhou,NONE,NONE,NONE,NONE,xi'an,NONE
"Vienna, Austria",Bangalore,"wuhan ,china","Pune, India",Vipava,NONE,"New Delhi, India",NONE,NONE,Netherlands
NONE,New York,NONE,"Taipei, Taiwan",NONE,"New York, NY","Taipei, Taiwan","Hangzhou, China",Seoul, Shenzhen
 Shenzhen,"Pune, India",Singapore,NONE,Luxembourg & Shanghai,"Salzburg, Austria","Grace Field, TPN","Madison, WI",NONE,"Nanjing, China"
NONE,"Nanjing, China",Mumbai,NONE,NONE,NONE,NONE,NONE,"San Francisco Bay Area, CA",NONE
NONE,NONE,"Wuhan, China",NONE,"DC, USA","Stockholm, Sweden","New York, NY","Grace Field, TPN",NONE,Gothenburg
NONE,Brazil,"Kuala Lumpur, Malaysia","Toronto, Canada",NONE,NONE,NONE,NONE,SZ City,"Graz, Austria"
NONE,"Detroit, MI",NONE,NONE,San Francisco,Beijing,"Hangzhou,China",Hyderabad,South Korea,NONE
China,NONE,"Campbell, CA",NONE,"Herndon, Virginia",Singapore,NONE,Oakland,Copenhagen,"Montreal, Canada"
NONE,NONE,NONE,"Stanford, CA",Chicago,NONE,NONE,Shanghai,"Tianjin, China",NONE
Austria,NONE,São Paulo,San Francisco,"Duvall, WA",NONE,NONE,NONE,"Beijing, China",Brazil
Brazil,"Cambridge, MA",NONE,NONE,China,"Fremont, CA","SF Bay Area, USA","New York, NY",South Africa,"Seattle, Washington, USA"
Singapore,NONE,"Philadelphia, USA",NONE,NONE,"Asheville, NC, USA",NONE,Malaysia,NONE,Bangalore
Paris,Bogota,Japan,Shenzhen,ShangHai·China,"San Francisco, CA",Bangalore,"Fremont, CA",NONE,Canada
NONE,NONE,NONE,United States,NONE,"Stony Brook, NY","Charlottesville, Virginia",NONE,NONE,"New Orleans, LA"
Bawana New Delhi,"Lehi, UT",Ahmedabad,Minneapolis,NONE,"Rochester, NY","Hangzhou, China","Warsaw, Poland","Tampa, FL","Brisbane, Australia"
"Shanghai,China",NONE,NONE,"Washington, DC",NONE,NONE,NONE,Morgantown - WV,NONE,NONE
NONE,"Paris, France","Boston, MA","Greater Boston Area, MA, USA",Toronto,"Warsaw, Poland",NONE,NONE,"Dallas, Texas","Austin, TX"
"Taipei, Taiwan","Dallas, Texas","Copenhagen, Denmark",NONE,New York,Palo Alto,"Kuala Lumpur, Malaysia",NONE,Philadelphia,HeFei
NONE,NONE,Birmingham and Mumbai,"San Diego, CA",France,"Tabriz, Iran",Beijing.China,NONE,"New Delhi, India",New York
NONE,NONE,NONE,"New York, New York",NONE,NONE,NONE,NONE,China,NONE
NONE,NONE,"Charlottesville, Virginia",New York,NONE,NONE,NONE,NONE,"Hangzhou, China",NONE
NONE,NONE,NONE,NONE,"Brisbane, Australia",Poland,Palma de Mallorca,"Rochester, MN",London - UK,NONE
"Boston, MA",NONE,NONE,San Francisco,Gurgaon,New York,NONE,NONE,New York City,"San Francisco, CA"
NONE,NONE,"London, UK",NONE,NONE,"Palo Alto, CA","Seattle, WA",NONE,"Rochester, NY","London, UK"
NONE,"Fuzhou, Fujian, China",Paris,Luxembourg,Beijing,"Bangalore, India",NONE,"San Francisco, CA",NONE,NONE
"Denver , USA",Kraków,NONE,NONE,NONE,NONE,NONE,NONE,"New York, NY",NONE
NONE,NONE,NONE,"Munich, Germany",NONE,İstanbul,"Cupertino, CA","San Francisco, CA","Kuala Lumpur, Malaysia",Toronto ON
"Beijing, China",NONE,NONE,Lausanne,NONE,Mumbai,NONE,NONE,NONE,"San Francisco, CA"
NONE,NONE,United States,NONE,NONE,NONE,"Beijing, China",NONE,NONE,NONE
"Beijing, China",NONE,Schiedam,NONE,NONE,Mumbai,NONE,NONE,NONE,NONE
NONE,"San Francisco, CA",NONE,NONE,Gurgaon,NONE,"Irvine, CA, USA",beijing,NONE,NONE
Oakland,NONE,NONE,NONE,"Seoul, republic of korea","Vilnius, Lithuania","Pittsburgh, Pennsylvania",San Francisco,Los Angeles,NONE
NONE,"London, UK",NONE,"London, UK",NONE,NONE,"Mumbai, India",NONE,San Francisco,NONE
"Chicago, IL","Oxford, England",San Francisco,NONE,"Brooklyn, NY","Seattle, WA",NONE,Malaysia,California,NONE
China,NONE,哈尔滨,NONE,NONE,NONE,NONE,NONE,ChengDu,NONE
"hangzhou,China",Oakland,NONE,ShangHai,NONE,NONE,"Madison, WI","Bangalore, India",NONE,China
NONE,NONE,NONE,NONE,United States,Auckland,NONE,Paris,NONE,California
