,Address,Latitude,Longitude
0,"['Barkhamsted, CT']",NONE,NONE
1,['Athens'],NONE,NONE
2,"['Hyderabad, India']",NONE,NONE
3,"['New Delhi, India']",NONE,NONE
4,"['Zhejiang,China']",NONE,NONE
5,['Planet Earth'],NONE,NONE
6,"['Changchun, Jilin']",NONE,NONE
7,"['Islamabad, Pakistan']",NONE,NONE
8,['New York'],NONE,NONE
9,"['Munich, Germany']",NONE,NONE
10,"['Shenzhen, China']",NONE,NONE
11,['Montreal'],NONE,NONE
12,"['Accra,Ghana']",NONE,NONE
13,"['Pune, India']",NONE,NONE
14,['CA'],NONE,NONE
15,"['Tehran, Iran ']",NONE,NONE
16,['Blumenau'],NONE,NONE
17,"['Poland, Kraków']",NONE,NONE
18,['Gurgaon'],NONE,NONE
19,"['Jaipur,Rajasthan']",NONE,NONE
20,['United Kingdom'],NONE,NONE
21,['Kraków'],NONE,NONE
22,['India'],NONE,NONE
23,['london UK'],NONE,NONE
24,['Bangalore'],NONE,NONE
25,['KITALE'],NONE,NONE
26,"['Wales, UK']",NONE,NONE
27,"['London, UK']",NONE,NONE
28,"['Serbia,  Belgrade']",NONE,NONE
29,"['Mbarara, Uganda']",NONE,NONE
30,"['Birmingham, AL']",NONE,NONE
31,"['Brasília, Brazil']",NONE,NONE
32,"['Birmingham, AL']",NONE,NONE
33,['New York City'],NONE,NONE
34,['Auckland'],NONE,NONE
35,"['Yardley, PA']",NONE,NONE
36,['Western Mass'],NONE,NONE
37,"['Paderborn, Germany']",NONE,NONE
38,['San Francisco'],NONE,NONE
39,['Boston'],NONE,NONE
40,"['Charlotte, NC']",NONE,NONE
41,['Seattle'],NONE,NONE
42,"['Portland, OR']",NONE,NONE
43,"['London, Ontario']",NONE,NONE
44,"['Philadelphia, PA']",NONE,NONE
45,"['Berlin, Germany']",NONE,NONE
46,['Kochi'],NONE,NONE
47,['Hyderabad'],NONE,NONE
48,['United Kingdom'],NONE,NONE
49,"['Chittagong, Bangladesh']",NONE,NONE
50,"['Milan,Italy']",NONE,NONE
51,"['Syracuse, New York']",NONE,NONE
52,"['Syracuse, New York']",NONE,NONE
53,['Nigeria'],NONE,NONE
54,['Moscow'],NONE,NONE
55,"['Leeds, West Riding, UK']",NONE,NONE
56,"['Chicago, IL']",NONE,NONE
57,['Oslo Norway'],NONE,NONE
58,['Toronto'],NONE,NONE
59,"['Bangalore, India']",NONE,NONE
60,"['Canada, Edmonton,AB']",NONE,NONE
