Location,Followers,Following,Stars,Contributions
"Brooklyn, NY",2600,275,2200,2683
Amsterdam,1300,20,318,185
"Brooklyn, NY",482,11,74,81
"Mountain View, CA",3100,110,286,1999
Luxembourg & Shanghai,614,43,145,665
Germany,928,0,125,610
"San Francisco, CA",36300,4,20,29
Santa Clara CA,2900,0,2,0
Toronto,610,5,20,1152
Harbin,104,19,68,45
China - Heilongjiang - Harbin,34,0,5,151
Bay Area,28,3,138,161
"Berlin, Deutschland",68,3,158,1665
"Santa Clara, CA, US",57,3,3,3
"Vienna, Austria",651,0,123,302
 Shenzhen,252,11,194,594
China,195,9,51,0
Austria,10,2,14,38
Brazil,268,46,429,491
Singapore,78,0,0,24
Paris,7600,2,21,215
Bawana New Delhi,7600,2,21,121
"Shanghai,China",451,9,162,59
"Taipei, Taiwan",338,129,633,903
"Boston, MA",479,161,1100,188
"Denver , USA",27,11,43,608
"Beijing, China",1300,10,0,0
"Beijing, China",36,7,89,1
Oakland,309,111,320,466
"Chicago, IL",43,3,13,198
China,2200,6,243,25
"hangzhou,China",77,2,101,16
"New Delhi, India",594,11,13,129
"Mountain View, CA",1400,30,181,298
"Brooklyn, NY",426,48,629,1128
"San Francisco, CA",36300,4,20,29
"Iran, Hamedan",41,50,291,242
"Bristol, UK",33,16,37,36
Germany,36,7,55,323
Hyderabad,156,1,0,255
"Kyiv, Ukraine",136,31,47,210
Zurich,652,14,79,54
"Mountain View, CA",601,146,182,59
"Rijeka, Croatia",161,17,42,786
London,15,11,9,2
"Shanghai, China",84,133,833,44
India,728,17,94,116
"Erlangen, Germany",25,3,19,117
Mazatlán & Seattle,54,1,120,235
earth,87,1,105,22
"Athens, GA",58,35,10,79
Sri Lanka,12,0,77,145
Hangzhou,5,18,81,2
"Kathmandu, Nepal",1100,266,431,2259
Belgium,50,9,200,12
China Hangzhou,4600,47,394,0
深圳市南山区,212,0,15,0
London,304,20,41,1259
"Tokyo, Japan.",317,0,47,249
china beijing,368,0,3,1
"Cambridge, MA",614,0,22,40
"Hangzhou, China",86,1,22,310
Thailand,88,31,729,2270
Switzerland,283,6,211,165
"Hyderabad, India",118,124,92,152
"Xi'an, China",65,8,13,260
"Bauru, SP",39,3,33,29
"Oakland, California, USA",756,25,147,570
San Jose,70,5,28,46
"Claremont, CA",375,4,156,919
China NJU,49,29,112,75
Bangalore,24,4,9,6
New York,332,2,67,445
"Pune, India",99,27,43,64
"Nanjing, China",624,48,642,65
Brazil,1500,23,26,249
"Detroit, MI",34,6,113,44
"Cambridge, MA",73,1,9,119
Bogota,292,1,51,61
"Lehi, UT",119,1,425,0
"Paris, France",3200,116,237,821
"Dallas, Texas",81,1,60,400
"Fuzhou, Fujian, China",41,6,122,0
Kraków,810,77,275,437
"San Francisco, CA",183,85,97,250
"London, UK",1100,2,491,1728
"Oxford, England",3400,51,194,875
Oakland,309,111,320,466
California,92,8,40,2236
India,922,8,99,985
"Bothell, Washington",312,15,50,2
"United States , Mexico, Canada",1800,18300,387,5084
"Denver, CO",81,7,30,0
"Tel Aviv, Israel",12,1,2,25
San Francisco Bay Area,659,0,6,54
"Istanbul, TUR",64,59,248,1426
"Montevideo, Uruguay",78,0,6,500
The Shire,1700,19,147,20
"San Francisco, CA",3400,41,36,3844
"Greater Boston Area, MA, USA",219,73,475,540
"Seattle, WA",118,23,148,265
Beijing,8,1,11,71
XIAN,1,7,109,21
Shenzhen，China,39,1,2,2129
Shanghai,21,13,23,167
"New York, NY",15200,23,83,1051
Dalian,43,0,1,7
California,195,17,591,731
"Amsterdam, Netherlands",207,1,32,5
广东省广州市,90,9,36,7
Sydney Australia,3400,0,0,99
ShenZhen,260,7,31,66
"Shenzhen, China ",999,350,728,269
China,607,14,1500,367
Beijing,548,0,0,140
ShangHai,188,40,120,16
New York City,3100,2,29,721
USA / China,6000,71,313,685
"Cambridge, UK",978,267,723,1142
"Madison, WI",13300,35,73,681
Saarland University,579,360,644,33
Cambridge,96,6,34,129
Germany,928,0,125,610
Bangalore,5700,0,2,369
"Dallas, TX",115,1,1,56
Singapore,1000,11,367,319
"Madison, WI",13300,35,73,681
"wuhan ,china",24,12,92,93
Singapore,387,6,8,15
Mumbai,418,7,56,714
"Wuhan, China",7,0,15,78
"Kuala Lumpur, Malaysia",1000,31,103,634
"Campbell, CA",42,10,125,35
São Paulo,342,31,112,245
"Philadelphia, USA",98,33,27,253
Japan,194,0,6,0
Ahmedabad,33,12,162,104
"Boston, MA",1200,0,28,145
"Copenhagen, Denmark",36,40,144,7
Birmingham and Mumbai,28,0,3,0
"Charlottesville, Virginia",444,22,16,214
"London, UK",48,0,2,34
Paris,7600,2,21,215
United States,41,4,22,22
Schiedam,381,12,56,28
San Francisco,56,0,28,4
哈尔滨,19,1,2,0
ShenZhen · China,112,5,34,170
Philadelphia,140,2,97,86
New York,85,1,31,706
"Bangalore, India",471,22,797,42
Planet Earth,53,0,102,219
Beijing,55,10,186,1
Taiwan,191,79,1500,591
Brazil ,17,277,166,103
"São Paulo, Brasil",1400,9,52,416
"Tokyo, Japan",100,3,21,0
Seattle WA,37,45,100,77
Korea,333,7,111,569
Mumbai,30,2,1,56
Toronto Ontario,374,1,3,1328
Seoul/Korea,50,19,108,245
Planet Earth,30,64,24,59
"Norwich, UK",52,8,17,135
Vietnam,1200,91,202,57
"Portland, OR",454,324,2900,373
"Cambridge, UK",978,267,723,1142
"Qingdao,China",8800,17,33,74
Bangalore India,677,19,250,70
北京市丰台区,654,2,33,90
Beijing.China,112,2,5,63
Somewhere Out in Space,1200,189,4300,31
Germany,121,62,431,230
"Sichuan University, China",665,16,12,109
"Munich, Germany",418,0,67,104
"Beijing, China",186,51,474,786
Singapore,245,78,533,794
Amsterdam,5600,7,83,1481
guangzhou,77,43,131,250
"Pune, India",99,27,43,64
"Taipei, Taiwan",98,118,413,342
"Toronto, Canada",153,13,10,886
"Stanford, CA",442,6,74,189
